[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:18:53] [=====               ] 27% -
[2025-12-30 12:18:54] [=====               ] 27% \
[2025-12-30 12:18:54] [=====               ] 27% |
[2025-12-30 12:18:55] [=====               ] 27% /
[2025-12-30 12:18:55] [=====               ] 27% -
[2025-12-30 12:18:56] [=====               ] 27% \
[2025-12-30 12:18:56] [=====               ] 27% |
[2025-12-30 12:18:57] [=====               ] 27% /
[2025-12-30 12:18:57] [=====               ] 27% -
[2025-12-30 12:18:58] [=====               ] 27% \
[2025-12-30 12:18:58] [=====               ] 27% |
[2025-12-30 12:18:59] [=====               ] 27% /
[2025-12-30 12:18:59] [=====               ] 27% -
[2025-12-30 12:19:00] [=====               ] 27% \
[2025-12-30 12:19:01] [=====               ] 27% |
[2025-12-30 12:19:01] [=====               ] 27% /
[2025-12-30 12:19:02] [=====               ] 27% -
[2025-12-30 12:19:02] [=====               ] 27% \
[2025-12-30 12:19:03] [=====               ] 27% |
[2025-12-30 12:19:03] [=====               ] 27% /
[2025-12-30 12:19:04] [=====               ] 27% -
[2025-12-30 12:19:04] [=====               ] 27% \
[2025-12-30 12:19:05] [=====               ] 27% |
[2025-12-30 12:19:05] [=====               ] 27% /
[2025-12-30 12:19:06] [=====               ] 27% -
[2025-12-30 12:19:06] [=====               ] 27% \
[2025-12-30 12:19:07] [=====               ] 27% |
[2025-12-30 12:19:07] [=====               ] 27% /
[2025-12-30 12:19:08] [=====               ] 27% -
[2025-12-30 12:19:08] [=====               ] 27% \
[2025-12-30 12:19:09] [=====               ] 27% |
[2025-12-30 12:19:09] [=====               ] 27% /
[2025-12-30 12:19:10] [=====               ] 27% -
[2025-12-30 12:19:10] [=====               ] 27% \
[2025-12-30 12:19:11] [=====               ] 27% |
[2025-12-30 12:19:11] [=====               ] 27% /
[2025-12-30 12:19:12] [=====               ] 27% -
[2025-12-30 12:19:12] [=====               ] 27% \
[2025-12-30 12:19:13] [=====               ] 27% |
[2025-12-30 12:19:13] [=====               ] 27% /
[2025-12-30 12:19:14] [=====               ] 27% -
[2025-12-30 12:19:14] [=====               ] 27% \
[2025-12-30 12:19:15] [=====               ] 27% |
[2025-12-30 12:19:15] [=====               ] 27% /
[2025-12-30 12:19:16] [=====               ] 27% -
[2025-12-30 12:19:16] [=====               ] 27% \
[2025-12-30 12:19:17] [=====               ] 27% |
[2025-12-30 12:19:17] [=====               ] 27% /
[2025-12-30 12:19:18] [=====               ] 27% -
[2025-12-30 12:19:18] [=====               ] 27% \
[2025-12-30 12:19:19] [=====               ] 27% |
[2025-12-30 12:19:19] [=====               ] 27% /
[2025-12-30 12:19:20] [=====               ] 27% -
[2025-12-30 12:19:20] [=====               ] 27% \
[2025-12-30 12:19:21] [=====               ] 27% |
[2025-12-30 12:19:21] [=====               ] 27% /
[2025-12-30 12:19:22] [=====               ] 27% -
[2025-12-30 12:19:22] [=====               ] 27% \
[2025-12-30 12:19:23] [=====               ] 27% |
[2025-12-30 12:19:23] [=====               ] 27% /
[2025-12-30 12:19:24] [=====               ] 27% -
[2025-12-30 12:19:24] [=====               ] 27% \
[2025-12-30 12:19:25] [=====               ] 27% |
[2025-12-30 12:19:25] [=====               ] 27% /
[2025-12-30 12:19:26] [=====               ] 27% -
[2025-12-30 12:19:26] [=====               ] 27% \
[2025-12-30 12:19:27] [=====               ] 27% |
[2025-12-30 12:19:27] [=====               ] 27% /
[2025-12-30 12:19:28] [=====               ] 27% -
[2025-12-30 12:19:28] [=====               ] 27% \
[2025-12-30 12:19:29] [=====               ] 27% |
[2025-12-30 12:19:29] [=====               ] 27% /
[2025-12-30 12:19:30] [=====               ] 27% -
[2025-12-30 12:19:30] [=====               ] 27% \
[2025-12-30 12:19:31] [=====               ] 27% |
[2025-12-30 12:19:31] [=====               ] 27% /
[2025-12-30 12:19:32] [=====               ] 27% -
[2025-12-30 12:19:32] [=====               ] 27% \
[2025-12-30 12:19:33] [=====               ] 27% |
[2025-12-30 12:19:33] [=====               ] 27% /
[2025-12-30 12:19:34] [=====               ] 27% -
[2025-12-30 12:19:34] [=====               ] 27% \
[2025-12-30 12:19:35] [=====               ] 27% |
[2025-12-30 12:19:35] [=====               ] 27% /
[2025-12-30 12:19:36] [=====               ] 27% -
[2025-12-30 12:19:36] [=====               ] 27% \
[2025-12-30 12:19:37] [=====               ] 27% |
[2025-12-30 12:19:37] [=====               ] 27% /
[2025-12-30 12:19:38] [=====               ] 27% -
[2025-12-30 12:19:39] [=====               ] 27% \
[2025-12-30 12:19:39] [=====               ] 27% |
[2025-12-30 12:19:40] [=====               ] 27% /
[2025-12-30 12:19:40] [=====               ] 27% -
[2025-12-30 12:19:41] [=====               ] 27% \
[2025-12-30 12:19:41] [=====               ] 27% |
[2025-12-30 12:19:42] [=====               ] 27% /
[2025-12-30 12:19:42] [=====               ] 27% -
[2025-12-30 12:19:43] [=====               ] 27% \
[2025-12-30 12:19:43] [=====               ] 27% |
[2025-12-30 12:19:44] [=====               ] 27% /
[2025-12-30 12:19:44] [=====               ] 27% -
[2025-12-30 12:19:45] [=====               ] 27% \
[2025-12-30 12:19:45] [=====               ] 27% |
[2025-12-30 12:19:46] [=====               ] 27% /
[2025-12-30 12:19:46] [=====               ] 27% -
[2025-12-30 12:19:47] [=====               ] 27% \
[2025-12-30 12:19:47] [=====               ] 27% |
[2025-12-30 12:19:48] [=====               ] 27% /
[2025-12-30 12:19:48] [=====               ] 27% -
[2025-12-30 12:19:49] [=====               ] 27% \
[2025-12-30 12:19:49] [=====               ] 27% |
[2025-12-30 12:19:50] [=====               ] 27% /
[2025-12-30 12:19:50] [=====               ] 27% -
[2025-12-30 12:19:51] [=====               ] 27% \
[2025-12-30 12:19:51] [=====               ] 27% |
[2025-12-30 12:19:52] [=====               ] 27% /
[2025-12-30 12:19:52] [=====               ] 27% -
[2025-12-30 12:19:53] [=====               ] 27% \
[2025-12-30 12:19:53] [=====               ] 27% |
[2025-12-30 12:19:54] [=====               ] 27% /
[2025-12-30 12:19:54] [=====               ] 27% -
[2025-12-30 12:19:55] [=====               ] 27% \
[2025-12-30 12:19:55] [=====               ] 27% |
[2025-12-30 12:19:56] [=====               ] 27% /
[2025-12-30 12:19:56] [=====               ] 27% -
[2025-12-30 12:19:57] [=====               ] 27% \
[2025-12-30 12:19:57] [=====               ] 27% |
[2025-12-30 12:19:58] [=====               ] 27% /
[2025-12-30 12:19:58] [=====               ] 27% -
[2025-12-30 12:19:59] [=====               ] 27% \
[2025-12-30 12:19:59] [=====               ] 27% |
[2025-12-30 12:20:00] [=====               ] 27% /
[2025-12-30 12:20:00] [=====               ] 27% -
[2025-12-30 12:20:01] [=====               ] 27% \
[2025-12-30 12:20:01] [=====               ] 27% |
[2025-12-30 12:20:02] [=====               ] 27% /
[2025-12-30 12:20:02] [=====               ] 27% -
[2025-12-30 12:20:03] [=====               ] 27% \
[2025-12-30 12:20:03] [=====               ] 27% |
[2025-12-30 12:20:04] [=====               ] 27% /
[2025-12-30 12:20:04] [=====               ] 27% -
[2025-12-30 12:20:05] [=====               ] 27% \
[2025-12-30 12:20:05] [=====               ] 27% |
[2025-12-30 12:20:06] [=====               ] 27% /
[2025-12-30 12:20:06] [=====               ] 27% -
[2025-12-30 12:20:07] [=====               ] 27% \
[2025-12-30 12:20:07] [=====               ] 27% |
[2025-12-30 12:20:08] [=====               ] 27% /
[2025-12-30 12:20:08] [=====               ] 27% -
[2025-12-30 12:20:09] [=====               ] 27% \
[2025-12-30 12:20:09] [=====               ] 27% |
[2025-12-30 12:20:10] [=====               ] 27% /
[2025-12-30 12:20:10] [=====               ] 27% -
[2025-12-30 12:20:11] [=====               ] 27% \
[2025-12-30 12:20:11] [=====               ] 27% |
[2025-12-30 12:20:12] [=====               ] 27% /
[2025-12-30 12:20:12] [=====               ] 27% -
[2025-12-30 12:20:13] [=====               ] 27% \
[2025-12-30 12:20:13] [=====               ] 27% |
[2025-12-30 12:20:14] [=====               ] 27% /
[2025-12-30 12:20:14] [=====               ] 27% -
[2025-12-30 12:20:15] [=====               ] 27% \
[2025-12-30 12:20:16] [=====               ] 27% |
[2025-12-30 12:20:16] [=====               ] 28% /
[2025-12-30 12:20:17] [=====               ] 28% -
[2025-12-30 12:20:17] [=====               ] 28% \
[2025-12-30 12:20:18] [=====               ] 29% |
[2025-12-30 12:20:18] [=====               ] 29% /
[2025-12-30 12:20:19] [=====               ] 29% -
[2025-12-30 12:20:19] [=====               ] 29% \
[2025-12-30 12:20:20] [=====               ] 29% |
[2025-12-30 12:20:20] [=====               ] 29% /
[2025-12-30 12:20:21] [=====               ] 29% -
[2025-12-30 12:20:21] [=====               ] 29% \
[2025-12-30 12:20:22] [=====               ] 29% |
[2025-12-30 12:20:22] [=====               ] 29% /
[2025-12-30 12:20:23] [=====               ] 29% -
[2025-12-30 12:20:23] [=====               ] 29% \
[2025-12-30 12:20:24] [=====               ] 29% |
[2025-12-30 12:20:24] [=====               ] 29% /
[2025-12-30 12:20:25] [=====               ] 29% -
[2025-12-30 12:20:25] [=====               ] 29% \
[2025-12-30 12:20:26] [=====               ] 29% |
[2025-12-30 12:20:26] [=====               ] 29% /
[2025-12-30 12:20:27] [=====               ] 29% -
[2025-12-30 12:20:27] [=====               ] 29% \
[2025-12-30 12:20:28] [=====               ] 29% |
[2025-12-30 12:20:28] [=====               ] 29% /
[2025-12-30 12:20:29] [=====               ] 29% -
[2025-12-30 12:20:29] [=====               ] 29% \
[2025-12-30 12:20:30] [=====               ] 29% |
[2025-12-30 12:20:30] [=====               ] 29% /
[2025-12-30 12:20:31] [=====               ] 29% -
[2025-12-30 12:20:31] [=====               ] 29% \
[2025-12-30 12:20:32] [=====               ] 29% |
[2025-12-30 12:20:32] [=====               ] 29% /
[2025-12-30 12:20:33] [=====               ] 29% -
[2025-12-30 12:20:33] [=====               ] 29% \
[2025-12-30 12:20:34] [=====               ] 29% |
[2025-12-30 12:20:34] [=====               ] 29% /
[2025-12-30 12:20:35] [=====               ] 29% -
[2025-12-30 12:20:35] [=====               ] 29% \
[2025-12-30 12:20:36] [=====               ] 29% |
[2025-12-30 12:20:36] [=====               ] 29% /
[2025-12-30 12:20:37] [=====               ] 29% -
[2025-12-30 12:20:37] [=====               ] 29% \
[2025-12-30 12:20:38] [=====               ] 29% |
[2025-12-30 12:20:38] [=====               ] 29% /
[2025-12-30 12:20:39] [=====               ] 29% -
[2025-12-30 12:20:39] [=====               ] 29% \
[2025-12-30 12:20:40] [=====               ] 29% |
[2025-12-30 12:20:40] [=====               ] 29% /
[2025-12-30 12:20:41] [=====               ] 29% -
[2025-12-30 12:20:41] [=====               ] 29% \
[2025-12-30 12:20:42] [=====               ] 29% |
[2025-12-30 12:20:42] [=====               ] 29% /
[2025-12-30 12:20:43] [=====               ] 29% -
[2025-12-30 12:20:43] [=====               ] 29% \
[2025-12-30 12:20:44] [=====               ] 29% |
[2025-12-30 12:20:44] [=====               ] 29% /
[2025-12-30 12:20:45] [=====               ] 29% -
[2025-12-30 12:20:45] [=====               ] 29% \
[2025-12-30 12:20:46] [=====               ] 29% |
[2025-12-30 12:20:46] [=====               ] 29% /
[2025-12-30 12:20:47] [=====               ] 29% -
[2025-12-30 12:20:47] [=====               ] 29% \
[2025-12-30 12:20:48] [=====               ] 29% |
[2025-12-30 12:20:48] [=====               ] 29% /
[2025-12-30 12:20:49] [=====               ] 29% -
[2025-12-30 12:20:49] [=====               ] 29% \
[2025-12-30 12:20:50] [=====               ] 29% |
[2025-12-30 12:20:50] [=====               ] 29% /
[2025-12-30 12:20:51] [=====               ] 29% -
[2025-12-30 12:20:51] [=====               ] 29% \
[2025-12-30 12:20:52] [=====               ] 29% |
[2025-12-30 12:20:52] [=====               ] 29% /
[2025-12-30 12:20:53] [=====               ] 29% -
[2025-12-30 12:20:53] [=====               ] 29% \
[2025-12-30 12:20:54] [=====               ] 29% |
[2025-12-30 12:20:55] [=====               ] 29% /
[2025-12-30 12:20:55] [=====               ] 29% -
[2025-12-30 12:20:56] [=====               ] 29% \
[2025-12-30 12:20:56] [=====               ] 29% |
[2025-12-30 12:20:57] [=====               ] 29% /
[2025-12-30 12:20:57] [=====               ] 29% -
[2025-12-30 12:20:58] [=====               ] 29% \
[2025-12-30 12:20:58] [=====               ] 29% |
[2025-12-30 12:20:59] [=====               ] 29% /
[2025-12-30 12:20:59] [=====               ] 29% -
[2025-12-30 12:21:00] [=====               ] 29% \
[2025-12-30 12:21:00] [=====               ] 29% |
[2025-12-30 12:21:01] [=====               ] 29% /
[2025-12-30 12:21:01] [=====               ] 29% -
[2025-12-30 12:21:02] [=====               ] 29% \
[2025-12-30 12:21:02] [=====               ] 29% |
[2025-12-30 12:21:03] [=====               ] 29% /
[2025-12-30 12:21:03] [=====               ] 29% -
[2025-12-30 12:21:04] [=====               ] 29% \
[2025-12-30 12:21:04] [=====               ] 29% |
[2025-12-30 12:21:05] [=====               ] 29% /
[2025-12-30 12:21:05] [=====               ] 29% -
[2025-12-30 12:21:06] [=====               ] 29% \
[2025-12-30 12:21:06] [=====               ] 29% |
[2025-12-30 12:21:07] [=====               ] 29% /
[2025-12-30 12:21:07] [=====               ] 29% -
[2025-12-30 12:21:08] [=====               ] 29% \
[2025-12-30 12:21:08] [=====               ] 29% |
[2025-12-30 12:21:09] [=====               ] 29% /
[2025-12-30 12:21:09] [=====               ] 29% -
[2025-12-30 12:21:10] [=====               ] 29% \
[2025-12-30 12:21:10] [=====               ] 29% |
[2025-12-30 12:21:11] [=====               ] 29% /
[2025-12-30 12:21:11] [=====               ] 29% -
[2025-12-30 12:21:12] [=====               ] 29% \
[2025-12-30 12:21:12] [=====               ] 29% |
[2025-12-30 12:21:13] [=====               ] 29% /
[2025-12-30 12:21:13] [=====               ] 29% -
[2025-12-30 12:21:14] [=====               ] 29% \
[2025-12-30 12:21:14] [=====               ] 29% |
[2025-12-30 12:21:15] [=====               ] 29% /
[2025-12-30 12:21:15] [=====               ] 29% -
[2025-12-30 12:21:16] [=====               ] 29% \
[2025-12-30 12:21:16] [=====               ] 29% |
[2025-12-30 12:21:17] [=====               ] 29% /
[2025-12-30 12:21:17] [=====               ] 29% -
[2025-12-30 12:21:18] [=====               ] 29% \
[2025-12-30 12:21:18] [=====               ] 29% |
[2025-12-30 12:21:19] [=====               ] 29% /
[2025-12-30 12:21:19] [=====               ] 29% -
[2025-12-30 12:21:20] [=====               ] 29% \
[2025-12-30 12:21:20] [=====               ] 29% |
[2025-12-30 12:21:21] [=====               ] 29% /
[2025-12-30 12:21:21] [=====               ] 29% -
[2025-12-30 12:21:22] [=====               ] 29% \
[2025-12-30 12:21:22] [=====               ] 29% |
[2025-12-30 12:21:23] [=====               ] 29% /
[2025-12-30 12:21:23] [=====               ] 29% -
[2025-12-30 12:21:24] [=====               ] 29% \
[2025-12-30 12:21:24] [=====               ] 29% |
[2025-12-30 12:21:25] [=====               ] 29% /
[2025-12-30 12:21:25] [=====               ] 29% -
[2025-12-30 12:21:26] [=====               ] 29% \
[2025-12-30 12:21:26] [=====               ] 29% |
[2025-12-30 12:21:27] [=====               ] 29% /
[2025-12-30 12:21:27] [=====               ] 29% -
[2025-12-30 12:21:28] [=====               ] 29% \
[2025-12-30 12:21:28] [=====               ] 29% |
[2025-12-30 12:21:29] [=====               ] 29% /
[2025-12-30 12:21:29] [=====               ] 29% -
[2025-12-30 12:21:30] [=====               ] 29% \
[2025-12-30 12:21:30] [=====               ] 29% |
[2025-12-30 12:21:31] [=====               ] 29% /
[2025-12-30 12:21:31] [=====               ] 29% -
[2025-12-30 12:21:32] [=====               ] 29% \
[2025-12-30 12:21:32] [=====               ] 29% |
[2025-12-30 12:21:33] [=====               ] 29% /
[2025-12-30 12:21:33] [======              ] 30% -
[2025-12-30 12:21:34] [======              ] 30% \
[2025-12-30 12:21:34] [======              ] 30% |
[2025-12-30 12:21:35] [======              ] 30% /
[2025-12-30 12:21:35] [======              ] 31% -
[2025-12-30 12:21:36] [======              ] 31% \
[2025-12-30 12:21:36] [======              ] 31% |
[2025-12-30 12:21:37] [======              ] 31% /
[2025-12-30 12:21:37] [======              ] 31% -
[2025-12-30 12:21:38] [======              ] 31% \
[2025-12-30 12:21:38] [======              ] 31% |
[2025-12-30 12:21:39] [======              ] 31% /
[2025-12-30 12:21:39] [======              ] 31% -
[2025-12-30 12:21:40] [======              ] 31% \
[2025-12-30 12:21:40] [======              ] 31% |
[2025-12-30 12:21:41] [======              ] 31% /
[2025-12-30 12:21:42] [======              ] 31% -
[2025-12-30 12:21:42] [======              ] 31% \
[2025-12-30 12:21:43] [======              ] 31% |
[2025-12-30 12:21:43] [======              ] 31% /
[2025-12-30 12:21:44] [======              ] 31% -
[2025-12-30 12:21:44] [======              ] 31% \
[2025-12-30 12:21:45] [======              ] 31% |
[2025-12-30 12:21:45] [======              ] 31% /
[2025-12-30 12:21:46] [======              ] 31% -
[2025-12-30 12:21:46] [======              ] 31% \
[2025-12-30 12:21:47] [======              ] 31% |
[2025-12-30 12:21:47] [======              ] 31% /
[2025-12-30 12:21:48] [======              ] 31% -
[2025-12-30 12:21:48] [======              ] 31% \
[2025-12-30 12:21:49] [======              ] 31% |
[2025-12-30 12:21:49] [======              ] 31% /
[2025-12-30 12:21:50] [======              ] 31% -
[2025-12-30 12:21:50] [======              ] 31% \
[2025-12-30 12:21:51] [======              ] 31% |
[2025-12-30 12:21:51] [======              ] 31% /
[2025-12-30 12:21:52] [======              ] 31% -
[2025-12-30 12:21:52] [======              ] 31% \
[2025-12-30 12:21:53] [======              ] 31% |
[2025-12-30 12:21:53] [======              ] 31% /
[2025-12-30 12:21:54] [======              ] 31% -
[2025-12-30 12:21:54] [======              ] 31% \
[2025-12-30 12:21:55] [======              ] 31% |
[2025-12-30 12:21:55] [======              ] 31% /
[2025-12-30 12:21:56] [======              ] 31% -
[2025-12-30 12:21:56] [======              ] 31% \
[2025-12-30 12:21:57] [======              ] 31% |
[2025-12-30 12:21:57] [======              ] 31% /
[2025-12-30 12:21:58] [======              ] 31% -
[2025-12-30 12:21:58] [======              ] 31% \
[2025-12-30 12:21:59] [======              ] 31% |
[2025-12-30 12:21:59] [======              ] 31% /
[2025-12-30 12:22:00] [======              ] 31% -
[2025-12-30 12:22:00] [======              ] 31% \
[2025-12-30 12:22:01] [======              ] 31% |
[2025-12-30 12:22:01] [======              ] 31% /
[2025-12-30 12:22:02] [======              ] 31% -
[2025-12-30 12:22:02] [======              ] 31% \
[2025-12-30 12:22:03] [======              ] 31% |
[2025-12-30 12:22:03] [======              ] 31% /
[2025-12-30 12:22:04] [======              ] 31% -
[2025-12-30 12:22:04] [======              ] 31% \
[2025-12-30 12:22:05] [======              ] 31% |
[2025-12-30 12:22:05] [======              ] 31% /
[2025-12-30 12:22:06] [======              ] 31% -
[2025-12-30 12:22:06] [======              ] 31% \
[2025-12-30 12:22:07] [======              ] 31% |
[2025-12-30 12:22:07] [======              ] 31% /
[2025-12-30 12:22:08] [======              ] 31% -
[2025-12-30 12:22:08] [======              ] 31% \
[2025-12-30 12:22:09] [======              ] 31% |
[2025-12-30 12:22:09] [======              ] 31% /
[2025-12-30 12:22:10] [======              ] 31% -
[2025-12-30 12:22:10] [======              ] 31% \
[2025-12-30 12:22:11] [======              ] 31% |
[2025-12-30 12:22:11] [======              ] 31% /
[2025-12-30 12:22:12] [======              ] 31% -
[2025-12-30 12:22:12] [======              ] 31% \
[2025-12-30 12:22:13] [======              ] 31% |
[2025-12-30 12:22:13] [======              ] 31% /
[2025-12-30 12:22:14] [======              ] 31% -
[2025-12-30 12:22:14] [======              ] 31% \
[2025-12-30 12:22:15] [======              ] 31% |
[2025-12-30 12:22:15] [======              ] 31% /
[2025-12-30 12:22:16] [======              ] 31% -
[2025-12-30 12:22:16] [======              ] 31% \
[2025-12-30 12:22:17] [======              ] 31% |
[2025-12-30 12:22:17] [======              ] 31% /
[2025-12-30 12:22:18] [======              ] 31% -
[2025-12-30 12:22:18] [======              ] 31% \
[2025-12-30 12:22:19] [======              ] 31% |
[2025-12-30 12:22:19] [======              ] 31% /
[2025-12-30 12:22:20] [======              ] 31% -
[2025-12-30 12:22:20] [======              ] 31% \
[2025-12-30 12:22:21] [======              ] 32% |
[2025-12-30 12:22:21] [======              ] 32% /
[2025-12-30 12:22:22] [======              ] 32% -
[2025-12-30 12:22:22] [======              ] 32% \
[2025-12-30 12:22:23] [======              ] 33% |
[2025-12-30 12:22:23] [======              ] 33% /
[2025-12-30 12:22:24] [======              ] 33% -
[2025-12-30 12:22:25] [======              ] 33% \
[2025-12-30 12:22:25] [======              ] 33% |
[2025-12-30 12:22:26] [======              ] 33% /
[2025-12-30 12:22:26] [======              ] 33% -
[2025-12-30 12:22:27] [======              ] 33% \
[2025-12-30 12:22:27] [======              ] 33% |
[2025-12-30 12:22:28] [======              ] 33% /
[2025-12-30 12:22:28] [======              ] 33% -
[2025-12-30 12:22:29] [======              ] 33% \
[2025-12-30 12:22:29] [======              ] 33% |
[2025-12-30 12:22:30] [======              ] 33% /
[2025-12-30 12:22:30] [======              ] 33% -
[2025-12-30 12:22:31] [======              ] 33% \
[2025-12-30 12:22:31] [======              ] 33% |
[2025-12-30 12:22:32] [======              ] 33% /
[2025-12-30 12:22:32] [======              ] 33% -
[2025-12-30 12:22:33] [======              ] 33% \
[2025-12-30 12:22:33] [======              ] 33% |
[2025-12-30 12:22:34] [======              ] 33% /
[2025-12-30 12:22:34] [======              ] 33% -
[2025-12-30 12:22:35] [======              ] 33% \
[2025-12-30 12:22:35] [======              ] 33% |
[2025-12-30 12:22:36] [======              ] 33% /
[2025-12-30 12:22:36] [======              ] 33% -
[2025-12-30 12:22:37] [======              ] 33% \
[2025-12-30 12:22:37] [======              ] 33% |
[2025-12-30 12:22:38] [======              ] 33% /
[2025-12-30 12:22:38] [======              ] 33% -
[2025-12-30 12:22:39] [======              ] 33% \
[2025-12-30 12:22:39] [======              ] 33% |
[2025-12-30 12:22:40] [======              ] 33% /
[2025-12-30 12:22:40] [======              ] 33% -
[2025-12-30 12:22:41] [======              ] 33% \
[2025-12-30 12:22:41] [======              ] 33% |
[2025-12-30 12:22:42] [======              ] 33% /
[2025-12-30 12:22:42] [======              ] 33% -
[2025-12-30 12:22:43] [======              ] 33% \
[2025-12-30 12:22:43] [======              ] 33% |
[2025-12-30 12:22:44] [======              ] 33% /
[2025-12-30 12:22:44] [======              ] 34% -
[2025-12-30 12:22:45] [======              ] 34% \
[2025-12-30 12:22:45] [======              ] 34% |
[2025-12-30 12:22:46] [======              ] 34% /
[2025-12-30 12:22:46] [=======             ] 35% -
[2025-12-30 12:22:47] [=======             ] 35% \
[2025-12-30 12:22:47] [=======             ] 35% |
[2025-12-30 12:22:48] [=======             ] 35% /
[2025-12-30 12:22:48] [=======             ] 35% -
[2025-12-30 12:22:49] [=======             ] 35% \
[2025-12-30 12:22:49] [=======             ] 35% |
[2025-12-30 12:22:50] [=======             ] 35% /
[2025-12-30 12:22:50] [=======             ] 35% -
[2025-12-30 12:22:51] [=======             ] 35% \
[2025-12-30 12:22:51] [=======             ] 35% |
[2025-12-30 12:22:52] [=======             ] 35% /
[2025-12-30 12:22:52] [=======             ] 35% -
[2025-12-30 12:22:53] [=======             ] 35% \
[2025-12-30 12:22:53] [=======             ] 35% |
[2025-12-30 12:22:54] [=======             ] 35% /
[2025-12-30 12:22:54] [=======             ] 35% -
[2025-12-30 12:22:55] [=======             ] 35% \
[2025-12-30 12:22:55] [=======             ] 35% |
[2025-12-30 12:22:56] [=======             ] 35% /
[2025-12-30 12:22:56] [=======             ] 35% -
[2025-12-30 12:22:57] [=======             ] 35% \
[2025-12-30 12:22:57] [=======             ] 35% |
[2025-12-30 12:22:58] [=======             ] 35% /
[2025-12-30 12:22:58] [=======             ] 35% -
[2025-12-30 12:22:59] [=======             ] 35% \
[2025-12-30 12:22:59] [=======             ] 35% |
[2025-12-30 12:23:00] [=======             ] 35% /
[2025-12-30 12:23:00] [=======             ] 35% -
[2025-12-30 12:23:01] [=======             ] 35% \
[2025-12-30 12:23:01] [=======             ] 35% |
[2025-12-30 12:23:02] [=======             ] 35% /
[2025-12-30 12:23:02] [=======             ] 35% -
[2025-12-30 12:23:03] [=======             ] 35% \
[2025-12-30 12:23:03] [=======             ] 35% |
[2025-12-30 12:23:04] [=======             ] 35% /
[2025-12-30 12:23:04] [=======             ] 35% -
[2025-12-30 12:23:05] [=======             ] 35% \
[2025-12-30 12:23:06] [=======             ] 35% |
[2025-12-30 12:23:06] [=======             ] 35% /
[2025-12-30 12:23:07] [=======             ] 36% -
[2025-12-30 12:23:07] [=======             ] 36% \
[2025-12-30 12:23:08] [=======             ] 36% |
[2025-12-30 12:23:08] [=======             ] 36% /
[2025-12-30 12:23:09] [=======             ] 36% -
[2025-12-30 12:23:09] [=======             ] 36% \
[2025-12-30 12:23:10] [=======             ] 37% |
[2025-12-30 12:23:10] [=======             ] 37% /
[2025-12-30 12:23:11] [=======             ] 37% -
[2025-12-30 12:23:11] [=======             ] 37% \
[2025-12-30 12:23:12] [=======             ] 37% |
[2025-12-30 12:23:12] [=======             ] 37% /
[2025-12-30 12:23:13] [=======             ] 37% -
[2025-12-30 12:23:13] [=======             ] 37% \
[2025-12-30 12:23:14] [=======             ] 37% |
[2025-12-30 12:23:14] [=======             ] 37% /
[2025-12-30 12:23:15] [=======             ] 37% -
[2025-12-30 12:23:15] [=======             ] 37% \
[2025-12-30 12:23:16] [=======             ] 37% |
[2025-12-30 12:23:16] [=======             ] 37% /
[2025-12-30 12:23:17] [=======             ] 37% -
[2025-12-30 12:23:17] [=======             ] 37% \
[2025-12-30 12:23:18] [=======             ] 37% |
[2025-12-30 12:23:18] [=======             ] 37% /
[2025-12-30 12:23:19] [=======             ] 37% -
[2025-12-30 12:23:19] [=======             ] 37% \
[2025-12-30 12:23:20] [=======             ] 37% |
[2025-12-30 12:23:20] [=======             ] 37% /
[2025-12-30 12:23:21] [=======             ] 37% -
[2025-12-30 12:23:21] [=======             ] 37% \
[2025-12-30 12:23:22] [=======             ] 37% |
[2025-12-30 12:23:22] [=======             ] 37% /
[2025-12-30 12:23:23] [=======             ] 37% -
[2025-12-30 12:23:23] [=======             ] 37% \
[2025-12-30 12:23:24] [=======             ] 37% |
[2025-12-30 12:23:24] [=======             ] 37% /
[2025-12-30 12:23:25] [=======             ] 37% -
[2025-12-30 12:23:25] [=======             ] 37% \
[2025-12-30 12:23:26] [=======             ] 37% |
[2025-12-30 12:23:26] [=======             ] 37% /
[2025-12-30 12:23:27] [=======             ] 37% -
[2025-12-30 12:23:27] [=======             ] 37% \
[2025-12-30 12:23:28] [=======             ] 37% |
[2025-12-30 12:23:28] [=======             ] 37% /
